feature,class,selection_freq,stable
probe_score_final,locked,1.0,True
text_thinking_to_content_ratio_mean,locked,0.415,False
text_thinking_length_std,locked,0.21,False
L55_cosine_consec_late,locked,0.12,False
L23_cosine_consec_mean,locked,0.08,False
text_thinking_length_mean,locked,0.07,False
L31_norm_std,locked,0.07,False
text_doubt_density_late,locked,0.065,False
text_completion_density,locked,0.05,False
cross_layer_norm_range_late_mean,locked,0.03,False
L55_norm_late_mean,locked,0.025,False
text_doubt_density,locked,0.02,False
text_content_length_final,locked,0.01,False
L23_norm_std,locked,0.01,False
text_exploration_density,locked,0.005,False
text_content_length_mean,locked,0.005,False
L11_cosine_consec_mean,locked,0.005,False
L31_cosine_consec_mean,locked,0.005,False
text_thinking_length_final,locked,0.0,False
text_ngram_overlap_late,locked,0.0,False
tool_entropy_full,locked,0.0,False
tool_entropy_first10,locked,0.0,False
tool_entropy_last10,locked,0.0,False
tool_diversity_count,locked,0.0,False
tool_top_fraction,locked,0.0,False
tool_switching_rate,locked,0.0,False
tool_repetition_max_run,locked,0.0,False
tool_calls_per_turn_mean,locked,0.0,False
tool_total_calls,locked,0.0,False
L11_norm_mean,locked,0.0,False
L11_norm_std,locked,0.0,False
L11_norm_late_mean,locked,0.0,False
L11_cosine_consec_late,locked,0.0,False
L11_drift_first_last,locked,0.0,False
L23_norm_mean,locked,0.0,False
L23_norm_late_mean,locked,0.0,False
L23_cosine_consec_late,locked,0.0,False
L23_drift_first_last,locked,0.0,False
L31_norm_mean,locked,0.0,False
L31_norm_late_mean,locked,0.0,False
L31_cosine_consec_late,locked,0.0,False
L31_drift_first_last,locked,0.0,False
L43_norm_mean,locked,0.0,False
L43_norm_std,locked,0.0,False
L43_norm_late_mean,locked,0.0,False
L43_cosine_consec_mean,locked,0.0,False
L43_cosine_consec_late,locked,0.0,False
L43_drift_first_last,locked,0.0,False
L55_norm_mean,locked,0.0,False
L55_norm_std,locked,0.0,False
L55_cosine_consec_mean,locked,0.0,False
L55_drift_first_last,locked,0.0,False
cross_layer_norm_cv_late_mean,locked,0.0,False
n_turns,locked,0.0,False
patch_n_bytes,locked,0.0,False
probe_score_first,locked,0.0,False
probe_score_trajectory_mean,locked,0.0,False
probe_score_trajectory_late_mean,locked,0.0,False
probe_score_volatility,locked,0.0,False
detector_v4_fire_turn,locked,0.0,False
tool_diversity_count,success,1.0,True
text_doubt_density,success,0.0,False
text_exploration_density,success,0.0,False
text_completion_density,success,0.0,False
text_thinking_length_mean,success,0.0,False
text_thinking_length_std,success,0.0,False
text_thinking_length_final,success,0.0,False
text_content_length_mean,success,0.0,False
text_content_length_final,success,0.0,False
text_thinking_to_content_ratio_mean,success,0.0,False
text_doubt_density_late,success,0.0,False
text_ngram_overlap_late,success,0.0,False
tool_entropy_full,success,0.0,False
tool_entropy_first10,success,0.0,False
tool_entropy_last10,success,0.0,False
tool_top_fraction,success,0.0,False
tool_switching_rate,success,0.0,False
tool_repetition_max_run,success,0.0,False
tool_calls_per_turn_mean,success,0.0,False
tool_total_calls,success,0.0,False
L11_norm_mean,success,0.0,False
L11_norm_std,success,0.0,False
L11_norm_late_mean,success,0.0,False
L11_cosine_consec_mean,success,0.0,False
L11_cosine_consec_late,success,0.0,False
L11_drift_first_last,success,0.0,False
L23_norm_mean,success,0.0,False
L23_norm_std,success,0.0,False
L23_norm_late_mean,success,0.0,False
L23_cosine_consec_mean,success,0.0,False
L23_cosine_consec_late,success,0.0,False
L23_drift_first_last,success,0.0,False
L31_norm_mean,success,0.0,False
L31_norm_std,success,0.0,False
L31_norm_late_mean,success,0.0,False
L31_cosine_consec_mean,success,0.0,False
L31_cosine_consec_late,success,0.0,False
L31_drift_first_last,success,0.0,False
L43_norm_mean,success,0.0,False
L43_norm_std,success,0.0,False
L43_norm_late_mean,success,0.0,False
L43_cosine_consec_mean,success,0.0,False
L43_cosine_consec_late,success,0.0,False
L43_drift_first_last,success,0.0,False
L55_norm_mean,success,0.0,False
L55_norm_std,success,0.0,False
L55_norm_late_mean,success,0.0,False
L55_cosine_consec_mean,success,0.0,False
L55_cosine_consec_late,success,0.0,False
L55_drift_first_last,success,0.0,False
cross_layer_norm_range_late_mean,success,0.0,False
cross_layer_norm_cv_late_mean,success,0.0,False
n_turns,success,0.0,False
patch_n_bytes,success,0.0,False
probe_score_final,success,0.0,False
probe_score_first,success,0.0,False
probe_score_trajectory_mean,success,0.0,False
probe_score_trajectory_late_mean,success,0.0,False
probe_score_volatility,success,0.0,False
detector_v4_fire_turn,success,0.0,False
tool_diversity_count,wandering,1.0,True
probe_score_final,wandering,0.6,False
text_thinking_length_std,wandering,0.47,False
L31_cosine_consec_mean,wandering,0.23,False
tool_switching_rate,wandering,0.21,False
tool_entropy_last10,wandering,0.165,False
text_thinking_length_mean,wandering,0.145,False
L31_norm_std,wandering,0.09,False
L55_cosine_consec_late,wandering,0.085,False
text_thinking_to_content_ratio_mean,wandering,0.08,False
tool_entropy_full,wandering,0.075,False
L23_cosine_consec_mean,wandering,0.07,False
text_completion_density,wandering,0.055,False
text_exploration_density,wandering,0.045,False
L55_norm_late_mean,wandering,0.03,False
text_doubt_density_late,wandering,0.02,False
tool_entropy_first10,wandering,0.02,False
L43_norm_std,wandering,0.02,False
L55_norm_std,wandering,0.02,False
probe_score_first,wandering,0.02,False
L11_drift_first_last,wandering,0.015,False
L31_cosine_consec_late,wandering,0.015,False
probe_score_volatility,wandering,0.015,False
text_ngram_overlap_late,wandering,0.01,False
L23_norm_mean,wandering,0.01,False
L23_norm_std,wandering,0.01,False
L23_drift_first_last,wandering,0.01,False
probe_score_trajectory_mean,wandering,0.01,False
L11_norm_std,wandering,0.005,False
L31_norm_mean,wandering,0.005,False
cross_layer_norm_range_late_mean,wandering,0.005,False
probe_score_trajectory_late_mean,wandering,0.005,False
text_doubt_density,wandering,0.0,False
text_thinking_length_final,wandering,0.0,False
text_content_length_mean,wandering,0.0,False
text_content_length_final,wandering,0.0,False
tool_top_fraction,wandering,0.0,False
tool_repetition_max_run,wandering,0.0,False
tool_calls_per_turn_mean,wandering,0.0,False
tool_total_calls,wandering,0.0,False
L11_norm_mean,wandering,0.0,False
L11_norm_late_mean,wandering,0.0,False
L11_cosine_consec_mean,wandering,0.0,False
L11_cosine_consec_late,wandering,0.0,False
L23_norm_late_mean,wandering,0.0,False
L23_cosine_consec_late,wandering,0.0,False
L31_norm_late_mean,wandering,0.0,False
L31_drift_first_last,wandering,0.0,False
L43_norm_mean,wandering,0.0,False
L43_norm_late_mean,wandering,0.0,False
L43_cosine_consec_mean,wandering,0.0,False
L43_cosine_consec_late,wandering,0.0,False
L43_drift_first_last,wandering,0.0,False
L55_norm_mean,wandering,0.0,False
L55_cosine_consec_mean,wandering,0.0,False
L55_drift_first_last,wandering,0.0,False
cross_layer_norm_cv_late_mean,wandering,0.0,False
n_turns,wandering,0.0,False
patch_n_bytes,wandering,0.0,False
detector_v4_fire_turn,wandering,0.0,False
