feature,class,selection_freq,stable
L43_cosine_consec_late,locked,0.835,True
text_doubt_density_late,locked,0.775,False
text_completion_density,locked,0.735,False
L11_drift_first_last,locked,0.68,False
L31_norm_std,locked,0.645,False
text_thinking_to_content_ratio_mean,locked,0.565,False
L31_norm_late_mean,locked,0.535,False
text_thinking_length_final,locked,0.475,False
text_content_length_mean,locked,0.435,False
L55_cosine_consec_mean,locked,0.415,False
L23_norm_std,locked,0.41,False
L55_drift_first_last,locked,0.39,False
text_ngram_overlap_late,locked,0.365,False
L43_norm_mean,locked,0.345,False
L43_norm_late_mean,locked,0.305,False
L23_norm_mean,locked,0.295,False
L31_drift_first_last,locked,0.295,False
tool_repetition_max_run,locked,0.285,False
L55_cosine_consec_late,locked,0.26,False
tool_entropy_last10,locked,0.255,False
L55_norm_std,locked,0.24,False
tool_switching_rate,locked,0.235,False
L11_norm_std,locked,0.225,False
text_thinking_length_std,locked,0.19,False
L23_norm_late_mean,locked,0.175,False
L43_cosine_consec_mean,locked,0.145,False
L55_norm_mean,locked,0.125,False
text_exploration_density,locked,0.12,False
L11_norm_mean,locked,0.12,False
L55_norm_late_mean,locked,0.1,False
tool_entropy_first10,locked,0.09,False
cross_layer_norm_cv_late_mean,locked,0.09,False
tool_calls_per_turn_mean,locked,0.085,False
L11_norm_late_mean,locked,0.07,False
tool_top_fraction,locked,0.055,False
L31_cosine_consec_mean,locked,0.055,False
L43_drift_first_last,locked,0.055,False
cross_layer_norm_range_late_mean,locked,0.055,False
text_doubt_density,locked,0.045,False
L23_cosine_consec_mean,locked,0.045,False
L31_norm_mean,locked,0.045,False
L43_norm_std,locked,0.045,False
tool_entropy_full,locked,0.04,False
L23_cosine_consec_late,locked,0.035,False
text_content_length_final,locked,0.03,False
text_thinking_length_mean,locked,0.025,False
L11_cosine_consec_late,locked,0.025,False
L11_cosine_consec_mean,locked,0.01,False
L31_cosine_consec_late,locked,0.01,False
tool_diversity_count,locked,0.0,False
tool_total_calls,locked,0.0,False
L23_drift_first_last,locked,0.0,False
tool_diversity_count,success,1.0,True
text_doubt_density,success,0.0,False
text_exploration_density,success,0.0,False
text_completion_density,success,0.0,False
text_thinking_length_mean,success,0.0,False
text_thinking_length_std,success,0.0,False
text_thinking_length_final,success,0.0,False
text_content_length_mean,success,0.0,False
text_content_length_final,success,0.0,False
text_thinking_to_content_ratio_mean,success,0.0,False
text_doubt_density_late,success,0.0,False
text_ngram_overlap_late,success,0.0,False
tool_entropy_full,success,0.0,False
tool_entropy_first10,success,0.0,False
tool_entropy_last10,success,0.0,False
tool_top_fraction,success,0.0,False
tool_switching_rate,success,0.0,False
tool_repetition_max_run,success,0.0,False
tool_calls_per_turn_mean,success,0.0,False
tool_total_calls,success,0.0,False
L11_norm_mean,success,0.0,False
L11_norm_std,success,0.0,False
L11_norm_late_mean,success,0.0,False
L11_cosine_consec_mean,success,0.0,False
L11_cosine_consec_late,success,0.0,False
L11_drift_first_last,success,0.0,False
L23_norm_mean,success,0.0,False
L23_norm_std,success,0.0,False
L23_norm_late_mean,success,0.0,False
L23_cosine_consec_mean,success,0.0,False
L23_cosine_consec_late,success,0.0,False
L23_drift_first_last,success,0.0,False
L31_norm_mean,success,0.0,False
L31_norm_std,success,0.0,False
L31_norm_late_mean,success,0.0,False
L31_cosine_consec_mean,success,0.0,False
L31_cosine_consec_late,success,0.0,False
L31_drift_first_last,success,0.0,False
L43_norm_mean,success,0.0,False
