iid,sub_class,model,n_msgs,n_turns_extracted,tool_entropy_last10,n_tools_last10
django__channels.a144b4b8.lm_rewrite__9vzepjtr,success,claude-3-7-sonnet-20250219,31,15,1.7609640474436812,10
python-hyper__h11.bed0dd4a.lm_rewrite__rtb2uk8p,success,claude-3-7-sonnet-20250219,39,19,1.7609640474436812,10
life4__textdistance.c3aca916.lm_rewrite__gdrh4f70,success,claude-3-7-sonnet-20250219,51,25,1.7609640474436812,10
mozillazg__python-pinyin.e42dede5.lm_rewrite__wdpprvnh,success,claude-3-7-sonnet-20250219,57,28,1.9219280948873623,10
cookiecutter__cookiecutter.b4451231.lm_rewrite__gop1hd1h,success,claude-3-7-sonnet-20250219,53,26,1.5709505944546687,10
pylint-dev__astroid.b114f6b5.lm_rewrite__mz84if55,success,claude-3-7-sonnet-20250219,79,39,1.5219280948873621,10
PyCQA__flake8.cf1542ce.lm_rewrite__x521e2aj,wandering,claude-3-7-sonnet-20250219,73,36,1.9609640474436814,10
alecthomas__voluptuous.a7a55f83.lm_rewrite__99ngf0jz,locked,claude-3-7-sonnet-20250219,135,67,1.7609640474436812,10
facelessuser__soupsieve.a8080d97.lm_rewrite__swzqhepn,success,claude-3-7-sonnet-20250219,175,87,1.6854752972273346,10
django-money__django-money.835c1ab8.lm_rewrite__3hx2mhmn,wandering,claude-3-7-sonnet-20250219,95,47,2.1219280948873624,10
conan-io__conan.86f29e13.lm_rewrite__rb7shtde,success,claude-3-7-sonnet-20250219,41,20,1.7609640474436812,10
adrienverge__yamllint.8513d9b9.lm_rewrite__rkpalnk3,success,claude-3-7-sonnet-20250219,47,23,1.4854752972273344,10
pyca__pyopenssl.04766a49.lm_rewrite__e6c3xill,success,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
mahmoud__boltons.3bfcfdd0.lm_rewrite__or6ab7bk,wandering,claude-3-7-sonnet-20250219,47,23,1.5709505944546687,10
lepture__mistune.bf54ef67.lm_rewrite__bwo2to9m,wandering,claude-3-7-sonnet-20250219,33,16,1.7609640474436812,10
alecthomas__voluptuous.a7a55f83.lm_rewrite__gxejqjvw,success,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
tox-dev__pipdeptree.c31b6418.lm_rewrite__cmnm8h5n,success,claude-3-7-sonnet-20250219,53,26,1.5709505944546687,10
django__channels.a144b4b8.lm_rewrite__ifv4vwtm,success,claude-3-7-sonnet-20250219,59,29,1.4854752972273344,10
iterative__dvc.1d6ea681.lm_rewrite__4h34bsm4,wandering,claude-3-7-sonnet-20250219,57,28,1.7609640474436812,10
gawel__pyquery.811cd048.lm_rewrite__48wsfffr,wandering,claude-3-7-sonnet-20250219,121,59,1.3709505944546687,10
agronholm__typeguard.b6a7e438.lm_rewrite__1dhk31yf,wandering,claude-3-7-sonnet-20250219,81,40,1.7609640474436812,10
pexpect__ptyprocess.1067dbda.lm_rewrite__xm4uq84l,success,claude-3-7-sonnet-20250219,41,20,1.5709505944546687,10
pylint-dev__astroid.b114f6b5.lm_rewrite__4hu12er2,wandering,claude-3-7-sonnet-20250219,101,50,1.9219280948873623,10
amueller__word_cloud.ec24191c.lm_rewrite__jhxlqo3m,success,claude-3-7-sonnet-20250219,165,82,2.0464393446710156,10
prettytable__prettytable.ca90b055.lm_rewrite__guayblhb,success,claude-3-7-sonnet-20250219,27,13,1.7609640474436812,10
tornadoweb__tornado.d5ac65c1.lm_rewrite__fx77ccey,wandering,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
lepture__mistune.bf54ef67.lm_rewrite__nv6zdix7,success,claude-3-7-sonnet-20250219,45,22,1.7609640474436812,10
gruns__furl.da386f68.lm_rewrite__i46k2e82,wandering,claude-3-7-sonnet-20250219,53,26,1.8464393446710154,10
mozillazg__python-pinyin.e42dede5.lm_rewrite__kcs7ts4t,locked,claude-3-7-sonnet-20250219,51,25,2.1219280948873624,10
prettytable__prettytable.ca90b055.lm_rewrite__r0ipau2a,wandering,claude-3-7-sonnet-20250219,45,22,1.7609640474436812,10
cknd__stackprinter.219fcc52.lm_rewrite__aihtp4bm,wandering,claude-3-7-sonnet-20250219,41,20,1.8464393446710154,10
facelessuser__soupsieve.a8080d97.lm_rewrite__vuz2oy16,success,claude-3-7-sonnet-20250219,71,35,1.7609640474436812,10
pydicom__pydicom.7d361b3d.lm_rewrite__makz17dx,wandering,claude-3-7-sonnet-20250219,39,19,1.7609640474436812,10
lincolnloop__python-qrcode.456b01d4.lm_rewrite__tnxc8rrm,success,claude-3-7-sonnet-20250219,35,17,2.1219280948873624,10
pylint-dev__astroid.b114f6b5.lm_rewrite__faar836o,locked,claude-3-7-sonnet-20250219,81,40,1.7609640474436812,10
adrienverge__yamllint.8513d9b9.lm_rewrite__a86uxzt2,wandering,claude-3-7-sonnet-20250219,121,60,1.7609640474436812,10
seperman__deepdiff.ed252022.lm_rewrite__ukik59pl,locked,claude-3-7-sonnet-20250219,109,54,1.9219280948873623,10
Suor__funcy.207a7810.lm_rewrite__jtztgbzu,success,claude-3-7-sonnet-20250219,37,18,1.5709505944546687,10
martinblech__xmltodict.0952f382.lm_rewrite__cijnr52s,success,claude-3-7-sonnet-20250219,117,58,1.7609640474436812,10
life4__textdistance.c3aca916.lm_rewrite__lskjy3p4,success,claude-3-7-sonnet-20250219,109,54,1.5709505944546687,10
jd__tenacity.0d40e76f.lm_rewrite__mc25garo,success,claude-3-7-sonnet-20250219,51,25,1.4854752972273344,10
mozillazg__python-pinyin.e42dede5.lm_rewrite__ae634snb,wandering,claude-3-7-sonnet-20250219,71,35,1.3709505944546687,10
dbader__schedule.82a43db1.lm_rewrite__rasm7146,locked,claude-3-7-sonnet-20250219,47,23,1.5709505944546687,10
python-hyper__h11.bed0dd4a.lm_rewrite__rhmtqhxv,success,claude-3-7-sonnet-20250219,43,21,1.5709505944546687,10
PyCQA__flake8.cf1542ce.lm_rewrite__6ocgpfht,wandering,claude-3-7-sonnet-20250219,65,32,1.7609640474436812,10
pyupio__safety.7654596b.lm_rewrite__uxqw3kes,wandering,claude-3-7-sonnet-20250219,81,40,1.7609640474436812,10
keleshev__schema.24a30457.lm_rewrite__1voqtjgr,success,claude-3-7-sonnet-20250219,49,24,1.5709505944546687,10
hukkin__tomli.443a0c1b.lm_rewrite__oeqmfyq1,wandering,claude-3-7-sonnet-20250219,43,21,1.9709505944546686,10
cookiecutter__cookiecutter.b4451231.lm_rewrite__kx2ydwde,success,claude-3-7-sonnet-20250219,101,50,1.1567796494470395,10
jawah__charset_normalizer.1fdd6463.lm_rewrite__snsu1vmv,success,claude-3-7-sonnet-20250219,85,42,1.5709505944546687,10
prettytable__prettytable.ca90b055.lm_rewrite__056l33j3,success,claude-3-7-sonnet-20250219,79,39,1.9219280948873623,10
graphql-python__graphene.82903263.lm_rewrite__6p0p8l6p,success,claude-3-7-sonnet-20250219,73,36,1.7609640474436812,10
agronholm__typeguard.b6a7e438.lm_rewrite__2ibnkhja,wandering,claude-3-7-sonnet-20250219,69,34,1.8464393446710154,10
mido__mido.a0158ff9.lm_rewrite__2jsf644r,success,claude-3-7-sonnet-20250219,31,15,2.1219280948873624,10
vi3k6i5__flashtext.b316c7e9.lm_rewrite__o22zs1ms,success,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
pydicom__pydicom.7d361b3d.lm_rewrite__fgjtocjm,locked,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
arrow-py__arrow.1d70d009.lm_rewrite__tco3uerq,success,claude-3-7-sonnet-20250219,31,15,1.5709505944546687,10
tox-dev__pipdeptree.c31b6418.lm_rewrite__nyprep0c,wandering,claude-3-7-sonnet-20250219,37,18,1.5709505944546687,10
graphql-python__graphene.82903263.lm_rewrite__5kpzhsdv,success,claude-3-7-sonnet-20250219,25,12,2.1219280948873624,10
joke2k__faker.8b401a7d.lm_rewrite__351y11fn,wandering,claude-3-7-sonnet-20250219,69,34,1.7609640474436812,10
keleshev__schema.24a30457.lm_rewrite__rrsc35n6,wandering,claude-3-7-sonnet-20250219,47,23,1.8464393446710154,10
adrienverge__yamllint.8513d9b9.lm_rewrite__f2dxq9ko,success,claude-3-7-sonnet-20250219,87,43,1.4854752972273344,10
pallets__click.fde47b4b.lm_rewrite__nyegudw2,wandering,claude-3-7-sonnet-20250219,75,37,1.7609640474436812,10
msiemens__tinydb.10644a0e.lm_rewrite__avoumrgh,success,claude-3-7-sonnet-20250219,39,19,1.1567796494470395,10
