iid,sub_class,exit_status,n_turns,n_tools_last10,tool_entropy_last10,tool_diversity_last10,tool_repetition_last10
AnalogJ__lexicon-336,wandering,submitted (exit_context),46,10,0.4689955935892812,0.2,0.9
AnalogJ__lexicon-336,wandering,submitted (exit_context),25,10,0.0,0.1,1.0
AnalogJ__lexicon-336,wandering,submitted (exit_context),29,10,0.9709505944546686,0.2,0.6
AnalogJ__lexicon-336,wandering,submitted (exit_context),155,10,0.4689955935892812,0.2,0.9
AnalogJ__lexicon-336,wandering,submitted (exit_context),41,10,1.6854752972273346,0.4,0.5
Melevir__cognitive_complexity-15,wandering,submitted (exit_context),17,10,1.5219280948873621,0.3,0.4
Melevir__cognitive_complexity-15,wandering,submitted (exit_context),58,10,0.0,0.1,1.0
Melevir__cognitive_complexity-15,wandering,submitted (exit_context),31,10,1.5709505944546684,0.3,0.4
Melevir__cognitive_complexity-15,wandering,submitted (exit_context),68,10,0.8812908992306927,0.2,0.7
Melevir__cognitive_complexity-15,wandering,submitted (exit_context),35,10,0.0,0.1,1.0
PyCQA__pyflakes-761,wandering,submitted (exit_context),44,10,1.5219280948873621,0.3,0.4
PyCQA__pyflakes-761,wandering,submitted (exit_context),39,10,1.5709505944546684,0.3,0.4
PyCQA__pyflakes-761,wandering,submitted (exit_context),38,10,0.0,0.1,1.0
PyCQA__pyflakes-761,wandering,submitted (exit_context),47,10,2.8464393446710154,0.8,0.3
PyCQA__pyflakes-761,wandering,submitted (exit_context),83,10,1.3709505944546687,0.3,0.6
PyCQA__pyflakes-761,wandering,submitted (exit_context),50,10,1.3609640474436813,0.3,0.5
PyCQA__pyflakes-761,wandering,submitted (exit_context),57,10,1.5709505944546684,0.3,0.4
PyCQA__pyflakes-761,wandering,submitted (exit_context),40,10,2.2464393446710154,0.5,0.3
ReproNim__reproman-518,wandering,submitted (exit_context),69,10,1.5709505944546684,0.3,0.4
ShawHahnLab__igseq-2,wandering,submitted (exit_context),32,10,1.3709505944546687,0.3,0.6
ShawHahnLab__igseq-2,wandering,submitted (exit_context),56,10,1.9609640474436814,0.5,0.5
ShawHahnLab__igseq-2,wandering,submitted (exit_context),25,10,0.0,0.1,1.0
ShawHahnLab__igseq-2,wandering,submitted (exit_context),26,10,0.8812908992306927,0.2,0.7
ShawHahnLab__igseq-2,wandering,submitted (exit_context),29,10,1.5709505944546684,0.3,0.4
TACC__agavepy-62,wandering,submitted (exit_context),23,10,0.0,0.1,1.0
TACC__agavepy-62,wandering,submitted (exit_context),55,10,2.121928094887362,0.5,0.4
TACC__agavepy-62,wandering,submitted (exit_context),58,10,0.0,0.1,1.0
TACC__agavepy-62,wandering,submitted (exit_context),27,10,1.5709505944546684,0.3,0.4
TACC__agavepy-62,wandering,submitted (exit_context),37,10,1.5709505944546684,0.3,0.4
TACC__agavepy-62,wandering,submitted (exit_context),233,10,0.4689955935892812,0.2,0.9
absent1706__sqlalchemy-mixins-108,wandering,submitted (exit_context),81,10,1.0,0.2,0.5
absent1706__sqlalchemy-mixins-108,wandering,submitted (exit_context),96,10,0.8812908992306927,0.2,0.7
absent1706__sqlalchemy-mixins-108,wandering,submitted (exit_context),72,10,1.0,0.2,0.5
absent1706__sqlalchemy-mixins-108,wandering,submitted (exit_context),51,10,0.4689955935892812,0.2,0.9
absent1706__sqlalchemy-mixins-108,wandering,submitted (exit_context),73,10,1.9709505944546688,0.4,0.3
absent1706__sqlalchemy-mixins-108,wandering,submitted (exit_context),71,10,2.1219280948873624,0.5,0.4
absent1706__sqlalchemy-mixins-108,wandering,submitted (exit_context),53,10,1.0,0.2,0.5
ahawker__ulid-59,wandering,submitted (exit_context),22,10,0.9709505944546686,0.2,0.6
ahawker__ulid-59,wandering,submitted (exit_context),26,10,1.0,0.2,0.5
ahawker__ulid-59,wandering,submitted (exit_context),28,10,1.0,0.2,0.5
airspeed-velocity__asv-702,wandering,submitted (exit_context),35,10,1.5709505944546684,0.3,0.4
airspeed-velocity__asv-702,wandering,submitted (exit_context),14,10,1.8464393446710154,0.4,0.4
airspeed-velocity__asv-702,wandering,submitted (exit_context),44,10,2.321928094887362,0.6,0.4
airspeed-velocity__asv-702,wandering,submitted (exit_context),66,10,0.0,0.1,1.0
airspeed-velocity__asv-702,wandering,submitted (exit_context),52,10,2.321928094887362,0.6,0.4
asottile__pyupgrade-142,wandering,submitted (exit_context),9,9,1.4466166676282084,0.4444444444444444,0.6666666666666666
asottile__pyupgrade-142,wandering,submitted (exit_context),49,10,0.0,0.1,1.0
asottile__pyupgrade-142,wandering,submitted (exit_context),32,10,1.5709505944546684,0.3,0.4
asottile__pyupgrade-142,wandering,submitted (exit_context),127,10,0.0,0.1,1.0
asottile__pyupgrade-142,wandering,submitted (exit_context),32,10,1.9709505944546686,0.4,0.3
asottile__pyupgrade-142,wandering,submitted (exit_context),21,10,1.0,0.2,0.5
asottile__pyupgrade-142,wandering,submitted (exit_context),45,10,0.0,0.1,1.0
asottile__pyupgrade-142,wandering,submitted (exit_context),38,10,1.5219280948873621,0.3,0.4
asottile__pyupgrade-142,wandering,submitted (exit_context),13,10,2.3219280948873626,0.6,0.4
asottile__pyupgrade-147,wandering,submitted (exit_context),71,10,1.0,0.2,0.5
asottile__pyupgrade-147,wandering,submitted (exit_context),198,10,0.0,0.1,1.0
asottile__pyupgrade-147,wandering,submitted (exit_context),33,10,0.0,0.1,1.0
asottile__pyupgrade-147,wandering,submitted (exit_context),13,10,1.5709505944546684,0.3,0.4
asottile__pyupgrade-347,wandering,submitted (exit_context),147,10,0.9709505944546686,0.2,0.6
asottile__pyupgrade-347,wandering,submitted (exit_context),56,10,1.3709505944546687,0.3,0.6
asottile__pyupgrade-347,wandering,submitted (exit_context),78,10,1.8464393446710154,0.4,0.4
