task_family,task_id,model,label,n_turns,n_tools_total,n_tools_last10,tool_entropy_last10,tool_diversity_last10,tool_entropy_full,n_unique_tools_full
local_research,local_research/which_does_worse,claude-3-5-sonnet-20240620,gives_up,5,5,5,1.3709505944546687,0.6,1.3709505944546687,3
local_research,local_research/atari_epochs,claude-3-5-sonnet-20240620,gives_up,7,7,7,1.3787834934861753,0.42857142857142855,1.3787834934861753,3
local_research,local_research/atari_epochs,claude-3-5-sonnet-20240620,gives_up,6,6,6,1.4591479170272448,0.5,1.4591479170272448,3
local_research,local_research/which_does_worse,claude-3-5-sonnet-20240620,gives_up,7,7,7,1.6644977792004614,0.5714285714285714,1.6644977792004614,4
local_research_tex,local_research_tex/ar_report,claude-3-5-sonnet-20240620,gives_up,8,8,8,1.2987949406953985,0.375,1.2987949406953985,3
local_research_tex,local_research_tex/ar_report,claude-3-5-sonnet-20240620,gives_up,10,10,10,1.5709505944546687,0.4,1.5709505944546687,4
local_research_tex,local_research_tex/33b_better_than_65b,claude-3-5-sonnet-20240620,gives_up,9,9,9,1.6577427265048887,0.4444444444444444,1.6577427265048887,4
local_research_tex,local_research_tex/33b_better_than_65b,claude-3-5-sonnet-20240620,gives_up,11,11,10,1.7609640474436812,0.4,1.789929075309999,4
local_research_tex,local_research_tex/33b_better_than_65b,claude-3-5-sonnet-20240620,gives_up,12,12,10,1.3567796494470397,0.4,1.780672129520887,5
reverse_hash,reverse_hash/input4,claude-3-5-sonnet-20240620,normal,24,24,10,1.8464393446710154,0.4,1.7091479170272448,5
password_check,password_check/7d,claude-3-5-sonnet-20240620,normal,9,9,9,2.2810361125534233,0.6666666666666666,2.2810361125534233,6
password_check,password_check/7e,claude-3-5-sonnet-20240620,normal,22,22,10,1.6854752972273344,0.4,2.6793743705131985,9
make_web_server,make_web_server/paste_password,claude-3-5-sonnet-20240620,normal,20,20,10,1.7709505944546688,0.5,2.2037016960573483,6
make_web_server,make_web_server/kv_undo,claude-3-5-sonnet-20240620,normal,24,24,10,1.9609640474436814,0.5,1.7264892117991657,6
reverse_hash,reverse_hash/input4,claude-3-5-sonnet-20240620,normal,66,66,10,0.4689955935892812,0.2,1.8051149212184434,6
password_check,password_check/6,claude-3-5-sonnet-20240620,normal,50,50,10,2.6464393446710153,0.7,2.667539173450743,12
gaia,gaia/df6561b2,claude-3-5-sonnet-20240620,normal,8,8,8,1.061278124459133,0.375,1.061278124459133,3
gaia,gaia/df6561b2,claude-3-5-sonnet-20240620,normal,4,4,4,1.5,0.75,1.5,3
gaia,gaia/df6561b2,claude-3-5-sonnet-20240620,normal,4,4,4,1.5,0.75,1.5,3
