iid,sub_class,model,n_turns,n_turns_extracted,tool_entropy_last10,n_tools_last10
weaveworks__grafanalib.5c3b17ed.func_basic__y65m92y7,success,gpt-5-router,9,9,2.6416041678685933,9
weaveworks__grafanalib.5c3b17ed.lm_rewrite__wu84emq2,success,gpt-5-router,11,11,2.8464393446710154,10
weaveworks__grafanalib.5c3b17ed.pr_594,success,gpt-5-router,7,7,2.1280852788913944,7
weaveworks__grafanalib.5c3b17ed.func_basic__j30tx8w4,success,gpt-5-router,7,7,1.8423709931771084,7
weaveworks__grafanalib.5c3b17ed.pr_611,success,gpt-5-router,8,8,0.5435644431995964,8
weaveworks__grafanalib.5c3b17ed.func_basic__seagq8ts,success,gpt-5-router,10,10,2.4464393446710155,10
weaveworks__grafanalib.5c3b17ed.func_basic__om8vdpln,success,gpt-5-router,13,13,1.3567796494470397,10
weaveworks__grafanalib.5c3b17ed.func_basic__aqvb406k,success,gpt-5-router,6,6,2.251629167387823,6
weaveworks__grafanalib.5c3b17ed.func_basic__5tmo678y,success,gpt-5-router,7,7,2.5216406363433186,7
vi3k6i5__flashtext.b316c7e9.func_pm_ctrl_shuffle__ath4kd3o,success,gpt-5-router,7,7,1.8423709931771084,7
weaveworks__grafanalib.5c3b17ed.combine_file__curvfb6e,locked,gpt-5-router,8,8,2.1556390622295662,8
vi3k6i5__flashtext.b316c7e9.func_basic__k20colal,success,gpt-5-router,9,9,2.4193819456463714,9
vi3k6i5__flashtext.b316c7e9.func_basic__rxa3lc09,success,gpt-5-router,6,6,2.2516291673878226,6
vi3k6i5__flashtext.b316c7e9.func_basic__moxmx006,success,gpt-5-router,18,18,1.7609640474436812,10
vi3k6i5__flashtext.b316c7e9.func_basic__qxcxqpxf,success,gpt-5-router,10,10,2.321928094887362,10
vi3k6i5__flashtext.b316c7e9.func_basic__y0pwbutq,success,gpt-5-router,10,10,2.446439344671015,10
vi3k6i5__flashtext.b316c7e9.combine_file__bf6xa4bb,success,gpt-5-router,12,12,1.6854752972273344,10
vi3k6i5__flashtext.b316c7e9.func_basic__h64ahqul,success,gpt-5-router,6,6,1.9182958340544893,6
vi3k6i5__flashtext.b316c7e9.combine_file__m4a2tfh1,success,gpt-5-router,19,19,2.3709505944546687,10
vi3k6i5__flashtext.b316c7e9.func_basic__40bfagui,success,gpt-5-router,10,10,1.8464393446710154,10
vi3k6i5__flashtext.b316c7e9.combine_file__9dxlk2rp,success,gpt-5-router,16,16,1.1567796494470395,10
un33k__python-slugify.872b3750.lm_rewrite__kidne8vn,locked,gpt-5-router,6,6,1.7924812503605778,6
un33k__python-slugify.872b3750.func_pm_remove_cond__sfsg5509,success,gpt-5-router,10,10,1.9609640474436814,10
un33k__python-slugify.872b3750.lm_rewrite__a6wu0tni,wandering,gpt-5-router,11,11,1.6858157091530304,11
un33k__python-slugify.872b3750.func_basic__bkpog0ey,success,gpt-5-router,9,9,2.197159723424149,9
un33k__python-slugify.872b3750.pr_148,locked,gpt-5-router,11,11,1.8464393446710154,10
un33k__python-slugify.872b3750.lm_rewrite__10gtvo7v,locked,gpt-5-router,15,14,0.9219280948873623,10
un33k__python-slugify.872b3750.func_pm_remove_assign__vwi0i7xy,success,gpt-5-router,12,12,1.3221793455166666,11
un33k__python-slugify.872b3750.pr_149,success,gpt-5-router,5,5,2.321928094887362,5
un33k__python-slugify.872b3750.func_basic__8p359v2a,success,gpt-5-router,7,7,2.2359263506290326,7
un33k__python-slugify.872b3750.combine_file__u8635nxq,success,gpt-5-router,12,12,1.9219280948873623,10
un33k__python-slugify.872b3750.combine_file__xmioikmw,success,gpt-5-router,9,9,2.197159723424149,9
tweepy__tweepy.91a41c6e.func_basic__q0ammzjl,success,gpt-5-router,11,11,2.321928094887362,10
tweepy__tweepy.91a41c6e.func_pm_class_rm_base__3bcv6d6g,success,gpt-5-router,13,13,2.1709505944546685,10
tweepy__tweepy.91a41c6e.func_basic__el0pp2kc,success,gpt-5-router,7,7,2.5216406363433186,7
tweepy__tweepy.91a41c6e.func_basic__y9z8wmqv,success,gpt-5-router,10,10,2.5219280948873624,10
tweepy__tweepy.91a41c6e.func_pm_ctrl_shuffle__gmdsgzf8,success,gpt-5-router,13,13,2.2221915755066783,11
tweepy__tweepy.91a41c6e.func_pm_remove_cond__gr3qnodb,locked,gpt-5-router,10,10,1.3567796494470397,10
tweepy__tweepy.91a41c6e.func_basic__d0v79y91,locked,gpt-5-router,16,16,1.9609640474436814,10
tweepy__tweepy.91a41c6e.func_basic__wt9hr2b7,success,gpt-5-router,16,16,2.1709505944546685,10
tweepy__tweepy.91a41c6e.func_basic__6o1jaxcj,success,gpt-5-router,7,7,1.3787834934861753,7
tox-dev__pipdeptree.c31b6418.lm_rewrite__dcihg8z3,locked,gpt-5-router,10,10,2.321928094887362,10
tweepy__tweepy.91a41c6e.func_basic__4la3of49,success,gpt-5-router,8,8,2.5,8
tweepy__tweepy.91a41c6e.combine_file__cdff7lxw,locked,gpt-5-router,14,13,1.7709505944546688,10
tox-dev__pipdeptree.c31b6418.pr_247,locked,gpt-5-router,5,5,2.321928094887362,5
tox-dev__pipdeptree.c31b6418.lm_rewrite__7ddb2yvp,locked,gpt-5-router,11,10,2.1609640474436813,10
tox-dev__pipdeptree.c31b6418.func_basic__pd7mrhqb,locked,gpt-5-router,5,5,2.321928094887362,5
tox-dev__pipdeptree.c31b6418.func_basic__8670gjr8,locked,gpt-5-router,12,12,2.6464393446710153,10
tox-dev__pipdeptree.c31b6418.func_basic__9itnod94,locked,gpt-5-router,9,9,2.4464393446710155,10
tox-dev__pipdeptree.c31b6418.func_basic__d73j2hys,locked,gpt-5-router,8,8,2.25,8
tox-dev__pipdeptree.c31b6418.combine_module__8udenz0i,locked,gpt-5-router,10,10,1.8464393446710154,10
tornadoweb__tornado.d5ac65c1.lm_rewrite__rl4yuxyq,wandering,gpt-5-router,11,11,1.9362600275315274,11
tox-dev__pipdeptree.c31b6418.combine_module__w33n6x60,locked,gpt-5-router,14,14,2.9219280948873623,10
tornadoweb__tornado.d5ac65c1.func_pm_remove_loop__t5vt8qlb,success,gpt-5-router,13,13,2.321928094887362,10
tornadoweb__tornado.d5ac65c1.pr_3315,success,gpt-5-router,12,12,1.8464393446710154,10
tornadoweb__tornado.d5ac65c1.func_pm_remove_assign__ymnie9cb,success,gpt-5-router,9,9,2.5032583347756456,9
tornadoweb__tornado.d5ac65c1.func_pm_remove_assign__ijsq4a1z,wandering,gpt-5-router,15,15,1.5726236638951638,11
tornadoweb__tornado.d5ac65c1.func_pm_ctrl_shuffle__3rt75cep,success,gpt-5-router,16,16,2.6464393446710157,10
